brand,class,gender,name,code,price
arido,calzado,hombre,mocasin,132,890
arido,calzado,hombre,fransicana,102,690
arido,calzado,hombre,fransicana,103,690
arido,calzado,hombre,malaga mocasin,123,890
arido,calzado,hombre,malaga mocasin,125,890
arido,calzado,hombre,malaga mocasin,126,890
arido,calzado,hombre,nautico acrodonado engrasado,228,1690
arido,calzado,hombre,nautico cuero bicolor,328,1690
arido,calzado,hombre,mocasin cuero bicolor,329,1690
arido,calzado,hombre,varios,331/931,1690
arido,calzado,dama,bota montar aros,3001,2890
arido,calzado,dama,bota 2 hebillas,3002,2890
arido,calzado,dama,bota montar punta,4001,2890
arido,calzado,dama,bota,2011,2690
arido,calzado,dama,bota,3000,2890
arido,calzado,dama,bota,6001,2890
arido,calzado,dama,bota,7002,2890
arido,calzado,dama,bota,7004,2890
arido,calzado,dama,bota,7005,2890
arido,calzado,dama,bota,9001,2590
