brand,class,gender,name,code,price
black rock,accesorio,unisex,media trk,,280
black rock,accesorio,niño,media trk jr,,250
black rock,accesorio,niño,media ski jr,,279
black rock,accesorio,unisex,media run,,230
black rock,accesorio,unisex,media trail,,260
black rock,accesorio,unisex,media ski,,299
black rock,accesorio,niño,media ski,,279
black rock,accesorio,unisex,pantorrilera compresion,,590
black rock,accesorio,unisex,gorro,,499
black rock,accesorio,unisex,guante primera piel,,580
black rock,accesorio,unisex,guante softshell,,740
black rock,accesorio,unisex,guante softshell des,,890
