brand,class,gender,name,code,price
carven,pantalon,hombre,jean corderoy,,990
carven,pantalon,hombre,pinzado gabardina,,890
carven,bermuda,hombre,bermuda rayada,,750
carven,pantalon,hombre,jean 5 bolsillos,,790
carven,pantalon,hombre,jean canvas,,790
carven,pantalon,hombre,pinzado,,890
carven,pantalon,hombre,pinzado denim,,890
carven,pantalon,dama,jean gabardina dama,,790
carven,camisa,dama,camisola denim 3/4,,890
carven,pantalon,dama,jean batik,,790
carven,pantalon,dama,jean elastizado color,,790
