brand,class,gender,name,code,price
coca cola,calzado,hombre,ojota,2066/7,299
coca cola,calzado,hombre,ojota,2014 y resto,299
coca cola,calzado,hombre,mica mid,0534,1390
coca cola,calzado,hombre,lumina,1049,990
coca cola,calzado,hombre,,0540,1290
coca cola,calzado,hombre,miami onca,0872,950
coca cola,calzado,hombre,mika hombre,0882,1390
coca cola,calzado,hombre,iate print,0926,890
coca cola,calzado,hombre,0927,,890
coca cola,calzado,hombre,,0936,950
coca cola,calzado,hombre,atacama,0511,1290
coca cola,calzado,hombre,baltor,0951,1590
coca cola,calzado,hombre,kick summer,0471,990
coca cola,calzado,hombre,viral,0456,1390
coca cola,calzado,hombre,gossip mid,,990
coca cola,calzado,hombre,kick tela,1126,990
coca cola,calzado,hombre,kick matelasse,1042,990
coca cola,calzado,hombre,,797,790
coca cola,calzado,hombre,montreal,0749,990
coca cola,calzado,hombre,,0784,1490
coca cola,calzado,hombre,,0782,1099
coca cola,calzado,hombre,kick savory castor,1125,1390
coca cola,calzado,hombre,cestaria cinza,1014,899
coca cola,calzado,hombre,kick pixel preto,1039,799
