brand,class,gender,name,code,price
colegial,remera,niño,remera m/c algodon 4-6,,299
colegial,remera,niño,remera m/c algodon 8-10,,299
colegial,remera,niño,remera m/c algodon 12-14,,299
colegial,camisa,niño,camisa m/l 4-6,,390
colegial,camisa,niño,camisa m/l 8-10,,390
colegial,camisa,niño,camisa m/l 12-14,,390
colegial,remera,niño,remera m/c pique 4-6,,350
colegial,remera,niño,remera m/c pique 8-10,,350
colegial,remera,niño,remera m/c pique 12-14,,350
colegial,buzo,niño,buzo bossa 4-6,,550
colegial,buzo,niño,buzo bossa 8-10,,550
colegial,buzo,niño,buzo bossa 12-14,,550
colegial,buzo,niño,campera alg 4-6,,599
colegial,buzo,niño,campera alg 8-10,,599
colegial,buzo,niño,campera alg 12-14,,599
colegial,buzo,niño,campera alg c/capucha 4-6,,690
colegial,buzo,niño,campera alg c/capucha 8-10,,690
colegial,buzo,niño,campera alg c/capucha 12-14,,690
colegial,pantalon,niño,pantalon algodon 4-6,,499
colegial,pantalon,niño,pantalon algodon 8-10,,499
colegial,pantalon,niño,pantalon algodon 12-14,,499
colegial,chomba,niño,chomba m/c pique 4-6,,450
colegial,chomba,niño,chomba m/c pique 8-10,,450
colegial,chomba,niño,chomba m/c pique 12-14,,450
