brand,class,gender,name,code,price
columbia,campera desmontable,hombre,bugaboo,sm7857,7290
columbia,campera desmontable,hombre,geograph,,5550
columbia,campera desmontable,hombre,ice line,,3800
columbia,campera desmontable,hombre,northern trek,,4590
columbia,campera desmontable,hombre,radio contrast,,6200
columbia,campera desmontable,hombre,rare earth,wm7118,5990
columbia,campera desmontable,hombre,spruce cruiser,,6990
columbia,campera desmontable,hombre,whilbird,sm7801,7990
columbia,campera desmontable,hombre,whilbird 2,sm7861,7990
columbia,campera desmontable,hombre,eager air,,5400
columbia,campera desmontable,hombre,bugaboo c/polar oh,,6850
columbia,campera desmontable,hombre,*lhotse mtn,,9550
columbia,campera desmontable,hombre,nordic,,5400
columbia,campera fija,hombre,bristol pass,,4730
columbia,campera fija,hombre,flash forward,,4850
columbia,campera fija,hombre,city trek,,2400
columbia,campera fija,hombre,climate high,am3085,3190
columbia,campera fija,hombre,coastal redwood,,3990
columbia,campera fija,hombre,co-moprh,,4900
columbia,campera fija,hombre,double whammy,,3520
columbia,campera fija,hombre,douglas island,,2300
columbia,campera fija,hombre,eastmorland,,4180
columbia,campera fija,hombre,falmouth,,2400
columbia,campera fija,hombre,heat elite,,3800
columbia,campera fija,hombre,hellfire,wm5079,6100
columbia,campera fija,hombre,kantor summit,,5080
columbia,campera fija,hombre,northern trek,wm5364,3600
columbia,campera fija,hombre,powder lake,,3410
columbia,campera fija,hombre,powder shot,,3410
columbia,campera fija,hombre,roc,,3190
columbia,campera fija,hombre,shimmer c/capucha,,4500
columbia,campera fija,hombre,shimmer s/capcucha,,4100
columbia,campera fija,hombre,shredinator,wm5447,5190
columbia,campera fija,hombre,alpine action c/trampa,,6600
columbia,campera fija,hombre,tanghi,,3190
columbia,campera fija,hombre,cyclone,,3410
columbia,campera fija,hombre,hexi heights,,2900
columbia,campera fija,hombre,*tapado thermal see ker,,4790
columbia,campera fija,hombre,*ru thermal jkt,,4290
columbia,campera fija,hombre,cubist c/trampa,,6000
columbia,campera fija,hombre,anthony fija,,3470
columbia,campera fija,hombre,goto jkt,,4800
columbia,campera fija,hombre,mighty lite jkt c/capucha,,4500
columbia,campera fija,hombre,portage duvet,,7750
columbia,campera fija,hombre,compacter,,8900
columbia,campera fija,hombre,up shoot,,8100
columbia,campera fija,hombre,flash forward hood,,5100
columbia,campera fija,hombre,*northern,,3600
columbia,campera fija,hombre,saddle ho,,4250
columbia,campera fija,hombre,jkt paso alto oh,,5200
columbia,campera fija,hombre,sister brock,,7700
columbia,campera softshell,hombre,*ascender shelbys,wm6615,3600
columbia,campera softshell,hombre,*ascender 2 alloway,wm6645,3600
