brand,class,gender,name,code,price
crocs,calzado,unisex,walu,,1255
crocs,calzado,unisex,classic,,618
crocs,calzado,niño,niño y junior hasta M3/W5,,445
crocs,calzado,unisex,mocasin santa cruz,,1080
crocs,calzado,unisex,band leopardo,,875
crocs,calzado,niño,band kids,,640
crocs,calzado,unisex,piel,,779
crocs,calzado,niño,piel jr,,679
crocs,calzado,unisex,sport glog importada,,1199
crocs,calzado,unisex,baya,,699
crocs,calzado,niño,sport glog importada kids,,979
crocs,calzado,unisex,sport glog nacional,,858
crocs,calzado,niño,sport glog nacional kids,,726
crocs,calzado,unisex,yukon,,1199
crocs,calzado,unisex,baya flip,,455
crocs,calzado,niño,kids tortugas ninja y otros,,989
crocs,calzado,niño,band sandalia niño,,1265
crocs,calzado,unisex,pin,,89
