brand,class,gender,name,code,price
cruz diablo,buzo,hombre,buzo algodon,,990
cruz diablo,pantalon,hombre,jean hombre,,990
cruz diablo,pantalon,dama,jean dama,,790
cruz diablo,bermuda,hombre,bermuda denim,,990
cruz diablo,bermuda,hombre,bermuda otras,,790
cruz diablo,camisa,hombre,camisa hombre,,990
cruz diablo,camisa,dama,camisa dama,,790
cruz diablo,remera,hombre,sudadera,,450
cruz diablo,remera,hombre,remera hombre,,450
cruz diablo,remera,dama,remera dama,,250
cruz diablo,remera,hombre,remera m/l,,390
cruz diablo,falda,dama,falda,,890
cruz diablo,bermuda short,dama,short dama,,890
cruz diablo,bermuda short,hombre,short de baño,,790
cruz diablo,sweater,hombre,sweater aquiles,,990
cruz diablo,campera,hombre,blazer pituco,,2290
cruz diablo,campera,hombre,campera nam,,2290
cruz diablo,campera,hombre,campera wesh,,2290
cruz diablo,campera,hombre,camp eng estroncio,,2490
cruz diablo,chaleco,hombre,chaleco bull,,2490
cruz diablo,campera,hombre,campera mercur y argon,,2290
cruz diablo,campera,hombre,romp boney,,2490
cruz diablo,campera,hombre,romp blur,,2490
cruz diablo,campera,hombre,camp stock,,2490
cruz diablo,campera,hombre,camp troi,,2490
cruz diablo,campera,hombre,parks watarn,,2490
