brand,class,gender,name,code,price
dcd,remera,hombre,remera,,490
dcd,remera,hombre,remera talle especial,,490
dcd,sweater,hombre,sweater bossa lana,,690
dcd,sweater,hombre,sweater v lana,,790
dcd,sweater,hombre,campera lana rayada,,990
dcd,chaleco,hombre,chaleco lana,,790
dcd,campera,hombre,campera algodon,,790
dcd,campera,hombre,campera nylon,,1290
dcd,chaleco,hombre,chaleco v lana,,790
dcd,buzo,hombre,buzo algdon c/capucha,,890
dcd,pantalon,hombre,pantalon algodon,,790
dcd,pantalon,hombre,pantalon algodon talle especial,,890
