brand,class,gender,name,code,price
drops,buzo,hombre,buzo polo 5-7,123,590
drops,buzo,hombre,buzo polo 8-10,123,650
drops,buzo,hombre,buzo polo 12-14,123,750
drops,buzo,hombre,buzo polo 5-7,126,590
drops,buzo,hombre,buzo polo 8-10,126,650
drops,buzo,hombre,buzo polo 12-14,126,750
drops,polar,hombre,chaleco polar 5-7,202,690
drops,polar,hombre,chaleco polar 8-12,202,790
drops,polar,hombre,campera polar 5-10,206,790
drops,polar,hombre,campera polar 12-14,206,890
drops,chomba,hombre,chomba 5-7,110,590
drops,chombar,hombre,chomba 8-10,110,750
drops,chomba,hombre,chomba 5-7,113,590
drops,chombar,hombre,chomba 8-10,113,750
drops,buzo,hombre,campera algodon 5-7,124,650
drops,buzo,hombre,campera algodon 8-10,124,750
drops,buzo,hombre,campera algodon 12-14,124,850
drops,remera,hombre,remera m/l lisa 5-7,101,490
drops,remera,hombre,remera m/l lisa 8-10,101,550
drops,remera,hombre,remera m/l lisa 12-14,101,590
drops,campera,hombre,campera nylon 5-7,,1890
drops,campera,hombre,campera nylon 8-10,,1990
drops,campera,hombre,campera nylon 12-16,,2290
