brand,class,gender,name,code,price
energy,pantalon,hombre,jean hombre,,690
energy,pantalon,dama,jean dama promo,,690
energy,pantalon,dama,oxford,,990
energy,pantalon,dama,capri gabardina,,790
energy,bermuda,dama,bermuda,,790
energy,remera,hombre,remera hombre,,250
energy,remera,dama,remera dama,,250
energy,pantalon,dama,jean corderoy,,890
energy,campera,hombre,campera,,2290
energy,accesorio,hombre,cinturon,,390
energy,accesorio,hombre,slip,,150
energy,camisa,hombre,camisa,,499
energy,buzo,hombre,campera algodon,,890
energy,accesorio,hombre,medias,,99
