brand,class,gender,name,code,price
forest,campera,hombre,jkt softshell,5828,2990
forest,campera,hombre,jkt softshell,5802,2450
forest,campera,hombre,jkt traful,5416,229
forest,campera,hombre,jkt softshell,5814,2990
forest,campera,hombre,camp gab bom,5451,2890
forest,campera,hombre,camp nylon,5461,2290
forest,campera,hombre,jkt softshell,5829,2290
forest,campera,hombre,camp softshell,5832,2990
forest,campera,hombre,camp madrin,5430,2890
forest,campera,hombre,camp madrin,5431,2890
forest,campera,hombre,camp softshell,5801,2690
forest,campera,hombre,camp softshell,5831,2900
forest,campera,hombre,rompevientos,9455,2079
forest,campera,hombre,rompevientos,9456,2079
forest,campera,hombre,jkt softshell,5835,2690
forest,campera,hombre,jkt softshell,5838,2790
forest,campera,hombre,jkt ot,5805,2890
forest,campera,hombre,jkt softshell,3345,3100
forest,campera,hombre,jkt cuyo,5447,4150
forest,campera,hombre,kuyen,6041,3950
forest,campera,hombre,camp trampa,6050,3950
forest,campera,hombre,camp,6025,3500
forest,chaleco,hombre,chaleco softshell,5817,2490
forest,chaleco,hombre,chaleco nylon chaiten,8049,2990
forest,chaleco,hombre,chaleco inka,8057,2090
forest,chaleco,hombre,chaleco bravo,5404,2690
forest,chaleco,hombre,chaleco,9410,1990
forest,chaleco,hombre,chaleco,20217,1990
forest,chaleco,hombre,chaleco,5837,2490
forest,chaleco,hombre,chaleco gab alg,9409,1890
forest,chaleco,hombre,chaleco softshell,5836,2490
forest,polar micropolar,hombre,chaleco pehuen,5592,1290
forest,polar micropolar,hombre,buzo limay,5596,1290
forest,polar micropolar,hombre,jkt huanel,5591,1390
forest,polar micropolar,hombre,camp junin,5589,1290
forest,polar micropolar,hombre,chaleco polar,5588,1190
forest,polar micropolar,hombre,camp polar,5586,1390
forest,polar micropolar,hombre,micropolar h/z,5598,1290
forest,polar micropolar,hombre,,5584,999
forest,polar micropolar,hombre,chaleco polar,5546,1090
forest,pantalon,hombre,,30066,1090
forest,pantalon,hombre,,8977,1160
forest,pantalon,hombre,,20353,1375
forest,pantalon,hombre,,6036,950
forest,pantalon,hombre,,6027,2200
forest,pantalon,hombre,,3301,1090
forest,pantalon,hombre,,20091,2000
forest,pantalon,hombre,,30067,1390
forest,pantalon,hombre,,3314,1290
forest,pantalon,hombre,,20015,990
forest,pantalon,hombre,,20018,1120
forest,pantalon,hombre,,9041,1120
forest,pantalon,hombre,,30071,1870
forest,pantalon,hombre,,20065,1690
forest,pantalon,hombre,,20057,1960
forest,pantalon,hombre,,20055,1960
forest,pantalon,hombre,,10092,1400
forest,pantalon,hombre,,20032,1485
forest,pantalon,hombre,,8991,1485
forest,pantalon,hombre,,20053,1485
forest,pantalon,hombre,,20058,1800
forest,pantalon,hombre,,20052,1200
forest,pantalon,hombre,,9000,1540
forest,pantalon,hombre,camuflado,3331,2000
forest,termico,hombre,camiseta m/l uni,5630,629
forest,termico,hombre,boxer,5941,259
forest,termico,hombre,pantalon,5602,495
forest,termico,hombre,camiseta,5601,495
forest,termico,niño,kids,5681,429
forest,termico,niño,kids,5680,429
forest,termico,hombre,pantalon,5631,585
forest,termico,hombre,5630,camiseta,629
forest,termico,hombre,polera,5642,585
forest,termico,hombre,polera,5644,590
forest,termico,dama,camiseta m/l,5603,440
forest,termico,dama,pantalon,5604,495
forest,termico,dama,boxer,5641,259
forest,termico,dama,calza,5636,460
forest,termico,dama,polera h/z,5646,530
forest,termico,dama,under shirt,5533,470
forest,termico,dama,musc,5638,300
forest,termico,dama,polera,5643,530
forest,termico,dama,rem m/l,5610,530
forest,remera,hombre,remera m/c,,890
forest,camisa,hombre,camisa m/c lisa,,1190
forest,camisa remera,hombre,camisa m/c esc,,1290
forest,camisa remera,hombre,camisa m/l lisa,,1290
forest,camisa remera,hombre,camisa m/l esc,,1390
forest,camisa remera,hombre,camisa 2XL 3XL,,1490
forest,pantalon,dama,pant desmontable,20027,1485
forest,pantalon bermuda,dama,bermuda,20019,790
forest,pantalon,dama,pantalon,20029,1430
forest,pantalon,dama,pantalon,20032,1490
forest,pantalon,dama,pantalon yehuin uv50,20034,1540
forest,pantalon,dama,pantalon,20090,1800
forest,pantalon,dama,,30206,790
forest,camisa,dama,camisa m/c,30203,790
forest,camisa,dama,camisa m/c,30206,790
forest,camisa,dama,camisa,20019,790
forest,campera,niño,ceres jkt jr,5338,1750
forest,campera,dama,jkt softshell,5824,2380
forest,campera,dama,jkt softshell,5804,2290
forest,campera,dama,jkt desmontable,5329,3630
forest,campera,dama,jkt atuel,5333,2750
forest,campera,dama,jkt softshell,5822,2420
forest,campera,dama,jkt softshell cans,5826,2420
forest,campera,dama,jkt softshell,5830,1950
forest,campera,dama,camp,9446,2230
forest,campera,dama,,5815,2230
forest,campera,dama,camp rosa rio,5442,4070
forest,campera,dama,camp,5323,2090
forest,campera,dama,tapado,5334,2530
forest,campera,dama,jkt,6019,3465
forest,campera,dama,romp,9460,1640
forest,campera,dama,camp hood,9428,2090
forest,campera,dama,trench softshell,5803,3290
forest,chaleco,dama,chaleco softshell,5833,1690
forest,chaleco,dama,chaleco,20216,1390
forest,chaleco,dama,chaleco softshell,5836,1690
forest,polar micropolar,dama,polar h/z,5528,1190
forest,polar micropolar,dama,chaleco polar,5594,990
forest,polar micropolar,dama,jkt polar,5595,1290
forest,polar micropolar,dama,jkt polar piel,5597,1290
forest,polar micropolar,dama,jkt lujan,5590,1290
forest,polar micropolar,dama,h/z,5530,1290
forest,accesorio,unisex,cuello,,199
forest,accesorio,unisex,gorro,,199
forest,accesorio,unisex,guante polar,,300
forest,accesorio termico,unisex,guante termico,,300
forest,accesorio,unisex,media ski,,275
forest,accesorio,unisex,media trekking,,275
forest,accesorio,unisex,pasamontaña,,220
