brand,class,gender,name,code,price
givenchy,remera,hombre,remera m/c lisa bossa y v ,,250
givenchy,remera,hombre,remera m/c est,,290
givenchy,remera,hombre,sudadera y musculosa,,230
givenchy,remera,hombre,polera,,490
givenchy,remera,hombre,remera m/l lisa,,490
givenchy,remera,hombre,remera m/l estampada,,590
givenchy,chomba,hombre,chomba m/c lisa,,490
givenchy,chomba,hombre,chomba m/c rayada,,590
givenchy,chomba,hombre,chomba m/l lisa,,690
givenchy,chomba,hombre,chomba m/l estampada y rayada,,750
givenchy,buzo,hombre,buzo bossa rayado,,790
givenchy,buzo,hombre,buzo algodon bossa,,690
givenchy,buzo,hombre,buzo algodon c/capucha,,890
givenchy,buzo,hombre,buzo algodon estampado,,790
givenchy,buzo,hombre,campera algodon c/capucha,,990
givenchy,buzo,hombre,campera algodon logo,,990
givenchy,buzo,hombre,buzo algodon h/z,,890
givenchy,buzo,hombre,buzo cuello polo rayado,,990
givenchy,buzo,hombre,buzo cuello alto boton,,690
givenchy,sweater,hombre,sweater bremer,,990
givenchy,camisa,hombre,camisa viyela,,990
givenchy,pantalon,hombre,jogging algodon,,690
