brand,class,gender,name,code,price
gloria vanderville,pantalon,dama,jean blanco,,899
gloria vanderville,pantalon,dama,jean,,899
gloria vanderville,pantalon,dama,jean corderoy,,1190
gloria vanderville,falda,dama,falda,,750
gloria vanderville,bermuda short,dama,short,,750
gloria vanderville,vestido,dama,vestido alg,,750
gloria vanderville,bermuda short,dama,capri,,750
gloria vanderville,campera,dama,camp sammy long,,1990
gloria vanderville,campera,dama,jkt denim,,1890
gloria vanderville,campera,dama,jkt gab,,1890
gloria vanderville,blazer,dama,blazer panna,,1890
gloria vanderville,campera,dama,campera amelie,,1890
gloria vanderville,camisa,dama,camisa angeline,,690
gloria vanderville,camisa,dama,camisa lisa milu,,690
gloria vanderville,camisa,dama,camisa molly denim,,790
gloria vanderville,remera,dama,musculosa,,290
gloria vanderville,remera,dama,remera m/c algodon,,390
gloria vanderville,remera,dama,remera m/l algodon,,450
gloria vanderville,remera,dama,remera m/l lanilla,,590
gloria vanderville,buzo,dama,campera algodon c/corderito,,1690
gloria vanderville,buzo,dama,todos,,890
