brand,class,gender,name,code,price
hi tec,calzado,hombre,bahama sport,,2000
hi tec,calzado,hombre,altitud 4,,3990
hi tec,calzado,hombre,sierra lace,,1900
hi tec,calzado,hombre,figaro,,1800
hi tec,calzado,hombre,lima mid,,2499
hi tec,calzado,hombre,sensor,,1890
hi tec,calzado,hombre,snow peak mid,,3690
hi tec,calzado,hombre,sonoma mid,,3299
hi tec,calzado,hombre,tortola,,1950
hi tec,calzado,hombre,wolf river,,1490
hi tec,calzado,hombre,sentimellow,,1990
hi tec,calzado,hombre,ezzez,,1690
hi tec,calzado,hombre,estratos mid,,2600
hi tec,calzado,hombre,logan mid,,2750
hi tec,calzado,hombre,sentinel mid,,2250
hi tec,calzado,hombre,forza mid,,3000
hi tec,calzado,dama,kite mid,,2200
hi tec,calzado,dama,apolo ws,,1800
hi tec,calzado,dama,sierra lite ws,,2300
hi tec,calzado,dama,sequoia mid,,3190
hi tec,calzado,dama,lima mid,,2499
hi tec,calzado,dama,dubois mid,,3190
hi tec,calzado,dama,ezzez,,1490
hi tec,calzado,dama,wolf river,,1450
hi tec,calzado,dama,estratos mid,,2600
hi tec,calzado,dama,altitud,,3500
hi tec,calzado,dama,montevideo,,2650
hi tec,calzado,niño,fast high jr mid,,2290
hi tec,pantalon,hombre,pantalon exeter,,2990
hi tec,campera,hombre,birminghan,,4900
hi tec,campera,dama,swindon,,4690
hi tec,campera,hombre,chester,,4990
hi tec,campera softshell,hombre,duke jkt softshell,,2400
hi tec,campera,dama,thermo tex jkt,,1450
hi tec,mochila,unisex,ohio,,1290
hi tec,mochila,unisex,modena,,1690
hi tec,mochila,unisex,aconcagua,,3150
hi tec,mochila,unisex,voyager pro 75l,,6690
hi tec,accesorio,unisex,bolso,a11790,2990
