brand,class,gender,name,code,price
lacoste,remera,hombre,remera m/c pique,,890
lacoste,chomba,hombre,chomba pique light 3 botones,,990
lacoste,chomba,hombre,chomba pique 2 botones,,1190
lacoste,chomba,hombre,chomba bolsillo o combinada,,1190
lacoste,camisa,hombre,camisa m/l lisa alg,,1590
lacoste,campera,hombre,campera bomber,,2990
lacoste,campera,hombre,campera rev,,2990
lacoste,sweater,hombre,sweater todos,,1290
lacoste,pantalon,hombre,pantalon todos,,1290
lacoste,accesorio,hombre,cinturon,todos,490
lacoste,accesorio,hombre,medias,,350
lacoste,accesorio,hombre,bufanda,,490
