brand,class,gender,name,code,price
lee no lista,pantalon,hombre,denim,1100,1290
lee no lista,pantalon,hombre,denim,1101,1290
lee no lista,pantalon,hombre,gabardina,1101,1290
lee no lista,pantalon,hombre,denim,1104,1290
lee no lista,pantalon,hombre,gabardina,1104,1390
lee no lista,pantalon,hombre,corderoy,1104,1590
lee no lista,pantalon,hombre,denim,1107,1290
lee no lista,pantalon,hombre,denim,1111,1290
lee no lista,pantalon,hombre,engomado,,1990
lee no lista,pantalon,hombre,clasico,otros,1290
lee no lista,pantalon,hombre,moda,otros,1690
lee no lista,pantalon,dama,todos,,1690
lee no lista,pantalon,dama,engomado,,1990
