brand,class,gender,name,code,price
lee,,,MEN JEANS VI (TRAVIS) MAGMA DARK SHADE,1112-1788-79-01,1899
lee,,,CHINO PANT I STRETCH TWILL TOASTED,1122-1818-44-01,1599
lee,,,CHINO PANT II STRETCH TWILL BLACK,1122-1819-79-01,1599
lee,,,SLICKER STRETCH DENIM INDIGO,1125-1103-85-01,1599
lee,,,SLICKER III STRETCH DENIM DARK BLUE,1125-1816-84-01,1599
lee,,,MARK I STRETCH DENIM INDIGO MID SW,1155-1896-01,1499
lee,,,MARK JOGG II JOGG DENIM MID BLUE W,1155-1811-95-01,1999
lee,,,MACKY STRETCH DENIM IND.MID BLUE WASH,1164-1213-94-01,1799
lee,,,MACKY STRETCH DENIM RAW WASH,1164-1403-84-01,1499
lee,,,MACKY STRETCH DENIM INDIGO,1164-1760-84-01,1299
lee,,,MACKY STRETCH DENIM INDIGO,1164-1761-85-01,1299
lee,,,MACKY III STRETCH BLACK SOLID BLACK W,1164-1812-79-01,1499
lee,,,MACKY IV STRETCH DENIM INDIGO BLUE BLACK,1164-1813-79-01,1999
lee,,,MACKY JOGG I JOGG DENIM BLACK DARK STONE,1164-1815-79-01,1999
lee,,,MACKY JOGG II JOGG DENIM DARK BLUE,1164-1817-92-01,1999
lee,,,CHASE DENIM INDIGO SUPER DARK STONE WASH,1166-1143-96-01,1699
lee,,,CHASE DENIM INDIGO LIGHT STONE WASH,1166-1187-86-01,1699
lee,,,CHASE I STRETCH TWILL BLACK SUAVIZADO,1166-1817-79-01,1699
lee,,,CHASE STRETCH DENIM HEAVY DISTRESSED,1166-1835-96-01,1999
lee,,,MEN CROPPED PANTS III TWILL KHAKI,1170-1790-42-01,1699
lee,,,101-S STRETCH DENIM NEGRO,1180-1020-79-01,1499
lee,,,101-S STRETCH DENIM INDIGO,1180-1144-85-01,1499
lee,,,101-S I STRETCH DENIM INDIGO RAW WASH,1180-1808-80-01,1599
lee,,,MEN CROPPED JEANS II (LUKE) MID SHADE,1191-1786-85-01,1799
lee,,,MEN CROPPED JEANS I (RAMONE) BLACK DARK,1194-1782-79-01,1899
lee,,,ANNETTA I STRETCH DENIM RAW WASH,1212-1215-80-01,1799
lee,,,ANNETTA II STRETCH DENIM NEGRO SUAV,1212-1216-80-01,1799
lee,,,WOMEN CROPPED JEANS I STRETCH DARK SHADE,1216-1797-95-01,1999
lee,,,WOMEN CROPPED JEANS III STRETCH DARK WAS,1216-1801-94-01,1999
lee,,,JOLIET STRETCH DENIM LIGHT STONE WASH,1231-1214-86-01,1699
lee,,,JOLIET I STRETCH VINTAGE DARK WASH,1231-1825-84-01,1699
lee,,,JADE STRETCH DENIM INDIGO MID STONE WASH,1242-1821-86-01,1699
lee,,,JADE STRETCH DENIM INDIGO LIGHT STONE WA,1242-1838-86-01,1699
lee,,,AMY LEGGING STRETCH DENIM INDIGO SUAV,1262-1204-80-01,1499
lee,,,AMY LEGGING I STRETCH DENIM MID STONE,1262-1824-85-01,1599
lee,,,AMY LEGGING III STRETCH TWILL SOLID BLAC,1262-1840-79-01,1599
lee,,,,1287-1035-85-01,1799
lee,,,SCARLETT STRETCH DENIM INDIGO MID STONE,1287-1823-85-01,1699
lee,,,101-N STRETCH DENIM INDIGO SUPER MID ST,1290-1820-86-01,1599
lee,,,MEN JEANS VII (EDDIE) DARK SHADE,1306-1789-95-01,1699
lee,,,MEN JEANS XI INDIGO KNIT INDIGO MID SHAD,1307-1794-38-01,1899
lee,,,WOMEN CAPRI STRETCH DENIM MID SHADE,1418-1796-85-01,1699
lee,,,WOMEN JEANS I STRETCH BLACK DARK SHADE,1419-1799-79-01,1999
lee,,,WOMEN JEANS II STRETCH MAGMA MID WASH,1419-1800-95-01,1999
lee,,,WOMEN JEANS III STRETCH DARK SHADE,1419-1802-84-01,1999
lee,,,WOMEN JEANS IV STRETCH MAGMA DARK SHADE,1419-1803-84-01,1999
lee,,,CALZA JAV LYCRA+CUERO NEGRO NO WASH,1420-1826-79-01,1299
lee,,,101-OVERALL DENIM INDI MID S.W,2144-1284-85-01,2799
lee,,,WOMEN SKIRTS DENIM INDIGO LIGHT SHADE,2461-1834-86-01,1499
lee,,,HELENA DRESS FRANELLA AZUL/NEGRO/PURPURA,2462-4917-37-01,1899
lee,,,lee W DENIM JACKET STRETCH SW,3278-1754-96-01,2499
lee,,,WOMEN PADDED JACKET I POLYESTER BLACK,3291-4428-79-01,4299
lee,,,WOMEN DOWN JACKET IV POLYESTER BLACK,3292-4428-79-01,4499
lee,,,WOMEN DOWN JACKET V CIRE NEGRO,3292-4429-79-01,3899
lee,,,lee MAN SHERPA JACKET BLACK LIGHT SW,3300-1830-79-01,3599
lee,,,MEN PADDED JACKET I NYLON NAVY NO WASH,334423-38-01,2699
lee,,,MEN PADDED JACKET II NYLON LYONS BLUE,334423-69-01,2699
lee,,,MEN DOWN JACKET VII POLYESTER BLACK,3311-4428-79-01,3899
lee,,,MEN DOWN JACKET II WATER REPELLENT GREY,3311-4440-70-01,3999
lee,,,MEN DOWN JACKET V WATER REP IRONGATE,3311-4440-72-01,3499
lee,,,MEN DOWN JACKET III WATER REP NYL BLACK,3311-4440-78-01,3999
lee,,,BRANSON JACKET POLIESTER VERDE,3312-4428-62-01,2599
