brand,class,gender,name,code,price
marsanto,calzado,hombre,robert,m2,1690
marsanto,calzado,hombre,nautico c/pasador,m3,1690
marsanto,calzado,hombre,zapatilla velcro,m18,1690
marsanto,calzado,hombre,sprint,m19,1690
marsanto,calzado,hombre,sprint velcro,m21,1690
marsanto,calzado,hombre,sprint c/cordon,m22,1690
marsanto,calzado,hombre,lotus c/cordon,m23,1690
marsanto,calzado,hombre,lotus velcro,m25,1690
marsanto,calzado,hombre,lotus,m27,1690
marsanto,calzado,hombre,floter mocasin,m29,1690
marsanto,calzado,hombre,milano copete,m37,1690
marsanto,calzado,hombre,milano copete,m38,1690
marsanto,calzado,hombre,leny bota,m41,1890
marsanto,calzado,hombre,zapatilla velcro,m42,1690
marsanto,calzado,hombre,slim nautico,m48,1690
marsanto,calzado,hombre,slim mocasin,m49,1690
marsanto,calzado,hombre,bota,m50,2290
marsanto,calzado,hombre,jensen borcego,m51,2290
marsanto,calzado,hombre,jensen cierre,m52,2990
marsanto,calzado,hombre,bota c/cordon,m53,2990
marsanto,calzado,hombre,soul c/cordon,m60,1690
marsanto,calzado,hombre,soul c/cordon,m61,1690
marsanto,calzado,hombre,f gamuzon,m82,1690
marsanto,calzado,hombre,soul velcro,m64,1690
marsanto,calzado,hombre,soul c/cordon,m65,1690
marsanto,calzado,hombre,modena mocasin slack,m70,1690
marsanto,calzado,hombre,modena c/hebilla,m74,1690
marsanto,calzado,hombre,sprint zapatilla,m100,1690
marsanto,calzado,hombre,pipper bota,m144,2990
marsanto,calzado,hombre,,m145,1690
marsanto,calzado,hombre,ferrara mocasin,m215,1690
marsanto,calzado,hombre,ferrara mocasin gamuza,m217,1690
marsanto,calzado,hombre,cuper zapatilla,m280,1690
marsanto,calzado,hombre,martin,m355,1690
marsanto,calzado,hombre,milano,m370,1690
marsanto,calzado,hombre,ken bota,m820,2290
marsanto,calzado,hombre,ken bota,m823,2990
