brand,class,gender,name,code,price
montagne,chomba,hombre,chomba dry fit,,990
montagne,remera,hombre,remera dry fit,,890
montagne,accesrio,unisex,cup algodon,,390
montagne,accesorio,unisex,cup dry fit,,390
montagne,accesorio,unisex,cup dry fit c/red,,450
montagne,accesorio,unisex,cup dry fit c/orej,,200
montagne,accesorio,unisex,vincha c/orej,,290
montagne,accesorio,unisex,cup pana c/visera,,390
montagne,accesorio,unisex,gorro polar,,99
montagne,accesorio,unisex,gorro tinsulate negro c/piel,,390
montagne,accesorio,unisex,gorro reversible,,250
montagne,accesorio,unisex,piluso,,250
montagne,accesorio,unisex,pasamontaña,,390
montagne,accesorio,unisex,cup polar,,280
montagne,accesorio,unisex,continental mochila red,,350
montagne,mochila,unisex,azules ant,,790
montagne,mochila,unisex,neo 17l,,890
montagne,mochila,unisex,udine,,650
montagne,mochila,unisex,alforja,,590
montagne,mochila,unisex,urban trooper riñonera,,750
montagne,mochila,unisex,neo riñonera,,690
montagne,mochila,unisex,ciclista rap,,690
montagne,mochila,unisex,altitude 34l,,1750
montagne,mochila,unisex,adventure 30l,,1500
montagne,mochila,unisex,hiker,,1190
montagne,mochila,unisex,cyclo,,1190
montagne,polar micropolar,hombre,chaleco polar,,690
montagne,campera,hombre,campera inv combi,,2990
montagne,accesorio,hombre,bufanda polar,,350
montagne,accesirio,hombre,guante polar,,490
montagne,accesorio,hombre,guante polar c/refuerzo,,299
montagne,bermuda,hombre,bermuda,,790
