brand,class,gender,name,code,price
nexxt,campera,hombre,fire and ice,,2800
nexxt,campera,hombre,offslope,,2990
nexxt,campera,hombre,yang,,3390
nexxt,campera,hombre,zenit,,3190
nexxt,campera,hombre,hangover 2x1 jkt desmontable,,4360
nexxt,campera,hombre,altitud 2x1 jkt desmontable,,4360
nexxt,campera,hombre,speed 2x1 jkt desmontable,,4750
nexxt,campera,hombre,storm 3x1 capucha fija,,4750
nexxt,campera,hombre,altitud 2 2x1 desmontable espigada,,4360
nexxt,campera,hombre,glimmer,,5420
nexxt,campera,hombre,mood,,2990
nexxt,campera softshell,hombre,shark softshell 8000mm wp,,3650
nexxt,campera softshell,hombre,nevermind softshell 1500mm,,2370
nexxt,campera softshell,hombre,protector softshell sin abrigo,,2370
nexxt,campera,hombre,walkhome rompeviento,,1790
nexxt,chaleco,hombre,chamaleon chaleco duvet,,2990
nexxt,chaleco,hombre,myto chaleco sintetico,,2190
nexxt,chaleco,hombre,motion chaleco deportivo elast,,1720
nexxt,chaleco,hombre,photo chaleco c/bolsillos liviano,,1720
nexxt,chaleco,hombre,mood chaleco nylon polar,,1720
nexxt,campera,hombre,vito campera espigada corta,,4230
nexxt,campera softshell,hombre,neill softshell,,2990
nexxt,campera,hombre,trim,,4230
nexxt,campera,hombre,mandarin 3l,,4230
nexxt,campera,hombre,mountain,,4230
nexxt,campera,hombre,downlite,,4230
nexxt,campera,niño,storm jr,,3650
nexxt,polar micropolar,hombre,lin chaleco polar,,780
nexxt,polar micropolar,hombre,lin jkt,,1190
nexxt,pantalon,hombre,walkhome overpant liviano,,1190
nexxt,pantalon,hombre,warmtrek secado rapido con abrigo,,2900
nexxt,pantalon,hombre,ultimate snowboard nylon,,2900
nexxt,pantalon,hombre,universe ski nylon,,2900
nexxt,pantalon,hombre,carb ski softshell,,2900
nexxt,pantalon,unisex,glimmer nive c/cierres,,3650
nexxt,polar micropolar,hombre,buzo edge micropolar,,1190
nexxt,polar micropolar,hombre,rim h/z,,990
nexxt,polar micropolar,hombre,rim jkt,,1120
nexxt,polar micropolar,hombre,myo h/z,,990
nexxt,polar micropolar,hombre,myo jkt,,990
nexxt,polar micropolar,hombre,zen jkt,,1120
nexxt,polar micropolar,hombre,palos ski x2,,790
nexxt,campera,dama,ying fija,,3170
nexxt,campera,dama,freestyle fija,,2900
nexxt,campera,dama,offslope fija,,3170
nexxt,campera,dama,zenit fija,,2900
nexxt,campera,dama,cinnamon duvet c/mangas desm,,4229
nexxt,campera,dama,halfmoon desmontable,,4360
nexxt,campera,dama,robbin desmontable,,5150
nexxt,campera,dama,icebreaker desmontable,,4229
nexxt,campera,dama,hangover desmontable,,4229
nexxt,campera softshell,dama,dolphin softshell 8000mm wp,,2900
nexxt,campera softshell,dama,downunder softshell peludo,,2900
nexxt,campera softshell,dama,upsidedown softshell 1500mm,,2500
nexxt,chaleco,dama,puffball chaleco duvet,,2900
nexxt,chaleco,dama,windy chaleco fotografo,,1490
nexxt,chaleco,dama,icy chaleco sintetico,,1890
nexxt,campera,dama,victory,,3690
nexxt,campera,dama,cora,,3100
nexxt,campera softshell,dama,nelli softshell,,2900
nexxt,chaleco,dama,upsidedown chaleco,,1790
nexxt,campera,dama,curly piel,,2990
nexxt,pantalon,dama,breakthrough ski nylon,,2590
nexxt,pantalon,dama,endurance ski nylon,,2590
nexxt,pantalon,dama,earl ski softshell 8000mm wp,,2590
nexxt,pantalon,dama,warmtrek,,2590
nexxt,accesorio,unisex,guante roi desm,,890
nexxt,accesorio,unisex,guante retro,,820
nexxt,accesorio,unisex,guante miller,,820
nexxt,accesorio,unisex,cuello mag,,250
nexxt,termico,unisex,remera protherm,,520
nexxt,termico,unisex,pantalon protherm,,520
nexxt,termico,niño,remera jr,,420
nexxt,termico,niño,pantalon jr,,420
nexxt,termico,unisex,remera micro dry,,660
nexxt,termico,unisex,pantalon micro dry,,720
nexxt,accesorio,unisex,palo x2 trekking,,720
nexxt,pantalon,hombre,henry 2 en 1,,1690
nexxt,pantalon,hombre,mercury,,1690
nexxt,pantalon,dama,milestone,,1690
nexxt,pantalon,hombre,subway,,1690
nexxt,pantalon,hombre,short one way,,890
nexxt,pantalon,hombre,short move,,990
nexxt,pantalon,hombre,short amphibious,,990
nexxt,pantalon,hombre,short lewis,,990
nexxt,pantalon,hombre,short brighton,,990
nexxt,pantalon,dama,short rock,,990
nexxt,pantalon,dama,short railway capri,,1290
nexxt,pantalon,dama,capri subway,,890
nexxt,pantalon,dama,railway,,1690
nexxt,camisa,hombre,todas,,1150
nexxt,camisa,dama,todas,,1150
nexxt,remera,hombre,todas,,890
nexxt,remera,dama,todas,,890
nexxt,campera,niño,zephyr jkt,,1890
nexxt,campera,niño,asteroid jkt c/trampa,,3250
nexxt,campera softshell,niño,gilant jkt softshell c/trampa,,2090
nexxt,campera,niño,lullaby jkt,,1990
nexxt,campera,niño,moondanger parka,,2500
nexxt,pantalon,niño,universe pant ski,,2150
nexxt,accesorio,niño,guante miller jr,,679
nexxt,mochila,unisex,boarder pro 45l,,5250
nexxt,mochila,unisex,smart 15l,,850
nexxt,mochila,unisex,bolso carrier,,3590
nexxt,calzado,hombre,manaslu xt mid,,2900
nexxt,calzado,hombre,broat xt mid,,3200
nexxt,calzado,hombre,tron xt mid,,1970
nexxt,calzado,hombre,huapi mid,,2550
nexxt,calzado,hombre,kang mid,,2150
nexxt,calzado,dama,khumbu,,1890
nexxt,calzado,dama,kang mid,,2100
