brand,class,gender,name,code,price
northland,campera,hombre,quentin blossom,,3290
northland,campera,hombre,vest duvet iso,,2700
northland,campera,hombre,vest jan,,2700
northland,campera,hombre,jan hood,,3900
northland,campera,hombre,jan jkt,,3700
northland,campera,hombre,lorio duvet hood jkt,,4400
northland,campera,hombre,james 3x1,,7400
northland,campera,hombre,yam 3x1,,8400
northland,campera,hombre,jkt duvet iso c/cap,,4500
northland,campera,hombre,jkt duvet iso,,4000
northland,campera,hombre,caspar jkt,,4350
northland,campera,hombre,narco exo jkt,,4100
northland,campera,hombre,pelle jkt imp,,4100
northland,campera,hombre,cimone con micropolar desmontable,,6050
northland,campera,hombre,cimone con softshell desmontable,,6650
northland,campera,hombre,snow shirt xenotex anorak,,4050
northland,campera,hombre,competition xenotex anorak,,7900
northland,campera,hombre,pro-ski race xenotex jkt,,4050
northland,campera,hombre,exotherm echo lxt stretch,,4780
northland,campera,hombre,exo tweed parka con piel en capucha,,4840
northland,campera,hombre,roy down chaleco pluma,,3260
northland,campera,hombre,cas roy rev vest chaleco,,3260
northland,campera,hombre,leonardo rompeviento waterproof,,2050
northland,campera,hombre,olympic rompeviento resistente al agua,,1510
northland,campera,hombre,chaleco gravity windstopper,,2640
northland,campera,hombre,campera gravity windstopper,,3260
northland,campera,hombre,ralph jacket,,2180
northland,campera,hombre,travel gene jacket,,2570
northland,campera,hombre,exo 5k kite ski jkt,,4670
northland,campera,hombre,exo 5k ski jkt,,4670
northland,campera,hombre,microloft chaleco,,2720
northland,campera,hombre,snowboard print jkt,,5880
northland,campera,hombre,pro dry vest,,2490
northland,campera,hombre,pro dry jkt,,2649
northland,campera,hombre,oliver canvas jkt,,1930
northland,campera,hombre,*aro down jkt,,7990
northland,campera,hombre,pro dry mountain jkt desm dryfit,,2640
northland,campera,hombre,robby rain jkt,,2200
northland,campera,hombre,ricco rain jkt print,,2150
northland,campera,hombre,merril 3x1 desm c/polar,,6170
northland,campera,hombre,kane ski jkt,,4830
northland,campera,hombre,exo simon 3x1 c/softshell desm,,7590
northland,campera,hombre,travel vest chaleco,,1750
northland,campera,hombre,skibase,,5450
northland,campera,hombre,exo 10k lxdan desm exhotherm laminada c/softshell,,6730
northland,campera,hombre,rex jkt trench tipo gab con desm peludito,,5900
northland,campera,hombre,sparta c/micropolar desm,,6650
northland,campera,hombre,baltoro down jkt pluma,,7990
northland,campera,hombre,aviator jkt,,3140
northland,campera,hombre,*corti,,3990
northland,campera,hombre,roy jkt,,6530
northland,campera,hombre,athos jkt,,4900
northland,campera,hombre,squall jkt,,4290
northland,campera,hombre,*danie jkt duvet,,5322
northland,campera,hombre,exo sepia jkt,,5090
northland,campera,hombre,xenotex naranja,,3750
northland,campera,niño,xenotex niño,,1870
northland,campera,hombre,roberto,,2000
northland,campera,hombre,burt parka,,4800
northland,polar micropolar,hombre,romeo camp,,1590
northland,polar micropolar,hombre,rolli h/z,,1450
northland,polar micropolar,hombre,adrian camp,,1620
northland,polar micropolar,hombre,adrian chaleco,,1490
northland,polar micropolar,hombre,saturn jkt,,1450
northland,polar micropolar,hombre,gravity chaleco,,2240
northland,polar micropolar,hombre,pantalon micropolar,,1450
northland,polar micropolar,hombre,pro ski rolli h/z,,1710
northland,polar micropolar,hombre,kengo camp,,1590
northland,polar micropolar,hombre,kengo camp hood,,1710
northland,polar micropolar,hombre,*pro zone helium h/z,,1550
northland,polar micropolar,hombre,*helium,,1850
northland,polar micropolar,hombre,*aleo jkt mic,,1990
northland,polar micropolar,hombre,daniel jkt,,2270
northland,pantalon ski snowboard,hombre,ferdi,,2660
northland,pantalon ski snowboard,hombre,greg,,2660
northland,pantalon ski snowboard,hombre,*yen clasico,,2660
northland,pantalon ski snowboard,hombre,storm shell falcon,,3500
northland,pantalon ski snowboard,hombre,apollo ski,,2660
northland,pantalon ski snowboard,hombre,*pro dry bermuda mount,,1699
northland,pantalon ski snowboard,hombre,*pro dry pant name desm,,2350
northland,pantalon ski snowboard,hombre,pro dry pant fijo,,2200
northland,accesorio,hombre,camiseta climate control,,799
northland,termico,hombre,camiseta thermo under,,915
northland,termico,hombre,pant thermo under,,940
northland,accesorio,hombre,guante ferrata kevlar,,990
northland,accesorio,hombre,guante ski alpine,,990
northland,accesorio,hombre,guante function softhsell,,990
northland,accesorio,unisex,media ski,,360
northland,accesorio,unisex,media running,,275
northland,accesorio,niño,media trek jr,,170
northland,accesorio,unisex,media trekking,,325
northland,accesorio,unisex,*cup pro dry desert,,540
northland,accesorio,unisex,cup pro dry,,495
northland,accesorio,hombre,cup logo ln,,470
northland,accesorio,niño,media trekking jr,,325
northland,accesorio,unisex,cuello mag,,200
northland,accesorio,unisex,gorro lana,,470
northland,campera softshell,hombre,chaleco hakon,,2490
northland,campera softshell,hombre,yamo jkt,,5990
northland,campera softshell,hombre,active shell combinada,,4399
northland,campera softshell,hombre,pro ski jkt camp lisa,,2990
northland,campera softshell,hombre,pro ski stormshell,,4900
northland,campera softshell,hombre,wales stormshell,,5362
northland,campera softshell,hombre,denali stormshell jkt,,5362
northland,campera softshell,hombre,storm shell lin,,5390
northland,campera softshell,hombre,ever shell jkt,,3787
northland,campera softshell,hombre,purpose jkt,,3594
northland,campera softshell,hombre,jerry hood c/capucha,,4332
northland,campera softshell,hombre,jerry hood s/capucha,,3980
northland,campera softshell,hombre,storm shell pro base,,4344
northland,campera softshell,hombre,sunset base,,3267
northland,campera softshell,hombre,active shell vest,,2287
northland,campera softshell,hombre,storm shell scope 5000mm c/capucha,,4815
northland,campera softshell,hombre,active shell base,,4344
northland,campera softshell,hombre,storm shell hugh,,4235
northland,campera softshell,hombre,storm shell basic s/capucha 5000mm,,4344
northland,campera softshell,hombre,storm shell logan 5000mm c/puño,,5190
northland,campera softshell,hombre,torino storm shell,,5929
northland,campera softshell,hombre,spr jkt zaplex,,1990
northland,campera softshell,hombre,str jkt tide,,2890
northland,campera softshell,hombre,exo 20k sepia,,5554
northland,campera softshell,hombre,cas base shell pro,,4400
northland,campera softshell,hombre,giorgia jkt,,4100
northland,campera softshell,hombre,jkt softshell posh,,4200
northland,chomba camisa,hombre,cooldry gregory polo shirt micropique m/c,,1200
northland,chomba camisa,hombre,spt rem s/m h/z dry fit,,780
northland,chomba camisa,hombre,spt chomba mao m/z h/z dry fit,,969
northland,chomba camisa,hombre,chomba pique sony,,969
northland,chomba camisa,hombre,tahiti joe,,1150
northland,chomba camisa,hombre,rene caro escosesa m/c,,1150
northland,chomba camisa,hombre,shirt m/l y m/c,,1590
northland,chomba camisa,hombre,shirt m/c organic,,1290
northland,campera,dama,archie duvet,,3600
northland,campera,dama,vanja tapado,,7990
northland,campera,dama,zoja ktv down,,6100
northland,campera,dama,alplust jkt,,5900
northland,campera,dama,natali jkt 3x1,,7150
northland,campera,dama,celia tapado,,8360
northland,campera,dama,carrie jkt,,4900
northland,campera,dama,jenny tapado sintetico,,4990
northland,campera,dama,carola jkt mirocopolar,,4150
northland,campera,dama,lisa jkt hibrido fibra,,3100
northland,campera,dama,garmisch jkt,,7990
northland,campera,dama,susan exotherm c/trampa desmontable,,2777
northland,campera,dama,lydia fleece,,1633
northland,campera,dama,exotherm meribel c/micropolar,,5423
northland,campera,dama,exotherm meribel c/softshell,,6534
northland,campera,dama,exotherm lxt stretch echo,,5719
northland,campera,dama,lenals canvas gabardina lisa,,2045
northland,campera,dama,random canvas c/piel,,2595
northland,campera,dama,downhill,,2595
northland,campera,dama,xenotex down jkt pluma,,2807
northland,campera,dama,synthia rompeviento impermeable,,2238
northland,campera,dama,sigrid rompeviento resistente,,1633
northland,campera,dama,arosa chaleco down vest pluma,,3110
northland,campera,dama,xenotex downhill c/trampa,,4080
northland,campera,dama,travel gina,,2370
northland,campera,dama,korfu,,1900
northland,campera,dama,calla storm shell jkt,,6655
northland,campera,dama,snowboard escosesa,,5554
northland,campera,dama,irena tapado,,5060
northland,campera,dama,spartika,,6369
northland,campera,dama,pro dry jkt,,3200
northland,campera,dama,pro dry trail,,3200
northland,campera,dama,travel belt jkt,,3430
northland,campera,dama,nora jkt,,3190
northland,campera,dama,summer shell bahiti,,2673
northland,campera,dama,exo lxt stretc energetic,,4080
northland,campera,dama,nicky jkt blanca c/cinto,,3217
northland,campera,dama,roberta,,2024
northland,campera,dama,speed running,,2024
northland,campera,dama,wenda combinada tejido c/softshell,,2452
northland,campera,dama,skibase,,5962
northland,campera,dama,tara 3x1 desmontable c/softshell,,5203
northland,campera,dama,benita tapado semilargo c/cinto,,4598
northland,campera,dama,belinda tapado largo c/piel en capucha,,6171
northland,campera,dama,paola jkt piloto,,3509
northland,campera,dama,sheer jkt parka,,3751
northland,campera,dama,lina exo sport,,6897
northland,campera,dama,liza tapado storm shell c/capucha,,6369
northland,campera,dama,penelope jkt,,3872
northland,campera,dama,athena jkt,,4900
northland,campera,dama,robertine romp,,2024
northland,campera,dama,daniele jkt down,,5357
northland,campera,niño,xenotex kids,,2057
northland,campera,niño,xenotex child dragon,,2057
northland,campera,dama,helski jkt,,4334
northland,campera,dama,cyber jkt,,5808
northland,campera,dama,tapado taz duvet,,6900
northland,campera,dama,jana jkt ultra light,,3150
northland,campera,dama,jana jkt hood ultra light,,3450
northland,campera,dama,tapado taja duvet,,3215
northland,campera,dama,ada jkt ultra light,,3500
northland,campera,dama,lory jkt duvet hood,,4250
northland,campera,dama,jessie 3 en 1 duvet,,6900
northland,campera softshell,dama,paige jkt,,2590
northland,campera softshell,dama,storm shell pro ski jkt,,3594
northland,campera softshell,dama,storm shell scope c/capucha,,3594
northland,campera softshell,dama,storm shell denali,,4960
northland,campera softshell,dama,active shell fleece combinada,,3594
northland,campera softshell,dama,active shell jkt lisa,,3217
northland,campera softshell,dama,lorena base shell jkt,,3267
northland,campera softshell,dama,active shell purpose jkt,,3900
northland,campera softshell,dama,storm shell lina,,4950
northland,campera softshell,dama,stephanie,,3267
northland,campera softshell,dama,active shell,,2826
northland,campera softshell,dama,storm shell bs scope,,4416
northland,campera softshell,dama,calla storm shell,,6655
northland,campera softshell,dama,summer shell bahiti,,2694
northland,campera softshell,dama,base shell zoe,,3890
northland,campera softshell,dama,active shell tea jkt doble lamina,,3267
northland,campera softshell,dama,active shell base,,3217
northland,campera softshell,dama,storm shell purpa c/cap 5000mm,,4400
northland,campera softshell,dama,stormshell georgia c/puño 5000mm,,4146
northland,campera softshell,dama,torino,,5699
northland,campera softshell,dama,holly jkt hood,,2790
northland,campera softshell,dama,storm shell pisa,,3990
northland,polar micropolar,dama,annie jkt,,2250
northland,polar micropolar,dama,hanna campera micropolar basica,,1450
northland,polar micropolar,dama,hanna c/capucha micropolar,,1416
northland,polar micropolar,dama,teddy fleece jkt,,1355
northland,polar micropolar,dama,rolli h/z buzo micropolar,,1162
northland,polar micropolar,dama,chaleco ramona micropolar,,1490
northland,polar micropolar,dama,calza 3/4 speed running,,1028
northland,polar micropolar,dama,kengo full hood,,1890
northland,polar micropolar,dama,kengo full,,1700
northland,polar micropolar,dama,helium full,,1700
northland,pantalon ski snowboard,dama,low rise pant,,2262
northland,pantalon ski snowboard,dama,lorena shell pant softshell,,3300
northland,pantalon ski snowboard,dama,apollo child ski trouser,,2662
northland,pantalon ski snowboard,dama,xenotex ski pant,,2662
northland,pantalon ski snowboard,dama,storm,,2662
northland,pantalon ski snowboard,dama,storm shell falcon,,3300
northland,pantalon ski snowboard,dama,irina pant softshell,,2750
northland,pantalon,dama,pant pro dry mount,,2350
northland,mochila,unisex,bolso expedit 75l,,2990
northland,mochila,unisex,sprint 10l,,1090
northland,mochila,unisex,kailash 70/10,,6990
northland,mochila,unisex,kailash 50/5,,5990
northland,mochila,unisex,bolso matero,,890
northland,mochila,unisex,kailash 60/10,,6700
northland,mochila,unisex,kailash 45/5,,4990
northland,mochila,unisex,kailash 80/10,,7590
northland,mochila,unisex,bolsa dormir,,2990
northland,mochila,unisex,bolsa dormir vison,,3190
northland,mochila,unisex,hi extreme,,650
