brand,class,gender,name,code,price
ojo rojo,camisa,dama,camisa vestir,,1390
ojo rojo,camisa,dama,camisola,,1390
ojo rojo,vestido,dama,solero,,1590
ojo rojo,vestido,dama,vestido noche,,1890
ojo rojo,vestido,dama,vestido noche corto,,1690
ojo rojo,remera,dama,musculosa tej y gasa,,790
ojo rojo,bermuda short,dama,mini,,790
ojo rojo,bermuda short,dama,short gol,,890
ojo rojo,vestido,dama,solero largo,,1690
ojo rojo,bermuda short,dama,short ray,,590
ojo rojo,campera,dama,saco paño y montgomery corto,,3190
ojo rojo,campera,dama,saco paño y montgomery largo,,3990
ojo rojo,campera,dama,piloto int desm o no,,2690
ojo rojo,campera,dama,jkt simil cuero,,2990
ojo rojo,campera,dama,jkt simil cuero stone,,2490
ojo rojo,campera,dama,cazadora simil cuero,,2490
ojo rojo,campera,dama,jkt simil cuero c/capucha beige choco,,2190
ojo rojo,campera,dama,jkt simil cabra,,2490
ojo rojo,campera,dama,camp larga nylon brillosa,,2490
ojo rojo,campera,dama,camp nylon corta,,2290
ojo rojo,chaleco,dama,chaleco nylon,,1290
ojo rojo,chaleco,dama,chaleco cuero,,1990
ojo rojo,campera,dama,trench gabardina,,4690
ojo rojo,campera,dama,trench karina,,1990
ojo rojo,campera,dama,jkt gabardina corta,,2290
ojo rojo,campera,dama,blazer vestir,,1890
ojo rojo,campera,dama,montgomery simil cuero,,2990
ojo rojo,campera,dama,camp nylon canelon,,2790
ojo rojo,chaleco,dama,chaleco nylon montgomery/rev,,2390
ojo rojo,chaleco,dama,chaleco piel,,1290
ojo rojo,campera,dama,camp nylon c/piel,,3290
ojo rojo,campera,dama,trench gab cruda,,2990
ojo rojo,campera,dama,jkt nylon canelon duvet,,4200
ojo rojo,campera,dama,jkt gabardina azul c/piel desmontable,,4290
ojo rojo,campera,dama,jkt simil cuero,23205409,4500
ojo rojo,campera,dama,jkt simil cuero,23205401,3590
ojo rojo,campera,dama,jkt denim tachas,,2990
ojo rojo,campera,dama,jkt nylon ivone rev,421,3490
ojo rojo,campera,dama,jkt nylon canelon,437,4690
ojo rojo,saco tejido,dama,card c/cap,4551,1890
ojo rojo,saco tejido,dama,saco c/lazo,4524,1890
ojo rojo,saco tejido,dama,saco gaspeado,4522,1890
ojo rojo,saco tejido,dama,poncho lana,5131,1890
ojo rojo,saco tejido,dama,polera larga,708,1690
ojo rojo,saco tejido,dama,sacon c/bols,728,1890
ojo rojo,saco tejido,dama,sacon lana s/boton,745,1890
ojo rojo,saco tejido,dama,sweater,901,1890
ojo rojo,saco tejido,dama,polera,908,1690
ojo rojo,saco tejido,dama,polera,905,1690
ojo rojo,saco tejido,dama,cardigan,955,1890
ojo rojo,saco tejido,dama,sweater,1142,1890
ojo rojo,saco tejido,dama,cardigan tej ribete cuero,,1990
ojo rojo,campera,hombre,camp matelase c/abrigo,,3990
ojo rojo,campera,hombre,camp nylon con o sin red,,2490
ojo rojo,campera,hombre,camp nylon o eng c/abrigo,,2990
ojo rojo,campera,hombre,camp gab c/abrigo,,2990
ojo rojo,campera,hombre,camp nylon s/abrigo,,2490
ojo rojo,campera,hombre,camp softshell,,2490
ojo rojo,chaleco,hombre,chaleco nylon,,2290
ojo rojo,campera,hombre,saco paño corto,,3490
ojo rojo,campera,hombre,montgomery,,3990
ojo rojo,campera,hombre,montgomery rustico promo,,3990
ojo rojo,campera,hombre,jkt simil cuero,,2990
ojo rojo,campera,hombre,jkt simil cuero stone,,2690
ojo rojo,campera,hombre,jkt simil cabra,,2690
ojo rojo,campera,hombre,camp nylon c/fibra militar,,2990
ojo rojo,campera,hombre,camp canelon combi y polar,,3990
ojo rojo,campera,hombre,trench gab militar,,3490
ojo rojo,campera,hombre,trench piel,21105477,4690
ojo rojo,campera,hombre,camp nylon rev,470,3900
ojo rojo,campera,hombre,camp canelon davis duvet,479,3990
ojo rojo,campera,hombre,camp canelon duvet,471,3490
ojo rojo,campera,hombre,camp aviadora nylon,476,3900
ojo rojo,pantalon,hombre,pantalon cargo,,1490
ojo rojo,camisa,hombre,camisa m/l,,1290
ojo rojo,sweater,hombre,camp lana,133,1290
ojo rojo,sweater,hombre,sweater,,1290
ojo rojo,buzo,hombre,camp alg fleece c/cap,,1690
ojo rojo,chomba,hombre,chomba algodon,,890
ojo rojo,bermuda short,hombre,bermuda baño,,890
ojo rojo,bermuda short,hombre,bermuda cargo,,990
ojo rojo,bermuda short,hombre,short cargo,,790
ojo rojo,bermuda short,hombre,bermuda gab,,890
ojo rojo,bermuda short,hombre,short baño,,790
