brand,class,gender,name,code,price
oxford,campera,dama,barnet saco mat dama,,2960
oxford,campera,hombre,belfast,,4060
oxford,campera,hombre,belmont,,3730
oxford,campera,hombre,burley,,4170
oxford,campera,niño,burley jr / country,,3290
oxford,campera,hombre,chelsea iron saco paño largo,,3890
oxford,campera,hombre,country rider,,3790
oxford,campera,hombre,chelsea des c/piel,,3890
oxford,campera,hombre,harrow,,3890
oxford,campera,hombre,margaret matelasse,,2960
oxford,campera,hombre,newbury,,4060
oxford,campera,hombre,newbury chera,,4060
oxford,campera,hombre,newbury kingston,,4060
oxford,campera,hombre,queens,,2960
oxford,campera,hombre,rainham,,2850
oxford,campera,hombre,york gilet,,3290
oxford,campera,hombre,frank piloto,,3290
oxford,campera,hombre,william mong paño,,4990
oxford,campera,dama,kate mong paño dama,,4750
oxford,bermuda short,hombre,short lewis,,890
oxford,bermuda short,hombre,short brighton,,890
oxford,bermuda short,hombre,bermuda hill,,890
oxford,bermuda short,dama,short bridge dama,,890
oxford,bermuda short,hombre,bermuda victoria,,890
oxford,pantalon,hombre,pantalon kent,,1890
oxford,pantalon,hombre,pantalon leyton,,1890
oxford,pantalon,hombre,pantalon picadilly,,1890
oxford,chomba,hombre,chomba dalton,,990
oxford,chomba,hombre,chomba wembley,,990
