brand,class,gender,name,code,price
pierre balmain,pantalon,hombre,pinzado 40-50,,699
pierre balmain,pantalon,hombre,pinzado 52-54,,750
pierre balmain,pantalon,hombre,pinzado 56-60,,790
pierre balmain,pantalon,hombre,pinzado gabardina 40-52,,750
pierre balmain,pantalon,hombre,pinzado gabardina 54-60,,790
pierre balmain,pantalon,hombre,pantalon corderoy y coder,,990
pierre balmain,pantalon,hombre,pantalon ray,,699
pierre balmain,pantalon,hombre,jean 5 bolsillos espiga,,790
pierre balmain,pantalon,hombre,jean 5 bolsillos pw,,790
pierre balmain,buzo,hombre,buzo polo combi,,790
pierre balmain,bermuda,hombre,bermuda denim,,690
pierre balmain,bermuda,hombre,bermuda est y gab,,750
pierre balmain,falda,dama,falda,,790
