brand,class,gender,name,code,price
polo,chomba,hombre,chomba m/c ray,,690
polo,chomba,hombre,chomba m/c pique,,590
polo,chomba,hombre,chomba m/c alg,,590
polo,chomba,hombre,chomba m/l morley e interlock,,790
polo,chomba,hombre,chomba m/l alg,,790
polo,chomba,hombre,chomba m/l pique,,690
polo,remera,hombre,camiseta alg v,,690
polo,remera,hombre,rem m/c v o bossa,,450
polo,remera,hombre,rem m/l lisa,,550
polo,remera,hombre,rem m/l morley y canelon,,590
polo,remera,hombre,rem m/l c/cartera ray y otras,,590
polo,remera,hombre,sudadera,,290
polo,remera,hombre,polera,,590
polo,camisa,hombre,cam m/l denim,,990
polo,camisa,hombre,cam m/l viyela,,599
polo,camisa,hombre,cam m/l resto,,499
polo,camisa,hombre,cam m/c cuello flores,,499
polo,camisa,hombre,cam m/c todas,,499
polo,sweater,hombre,cardigan punto,,990
polo,sweater,hombre,sweater punto,,790
polo,sweater,hombre,sweater cuello polo,,790
polo,buzo,hombre,buzo cuello polo,,690
polo,buzo,hombre,buzo c/capucha,,790
polo,bermuda,hombre,bermuda cargo o denim,,890
polo,pantalon,hombre,jean corderoy stretch o pinzado,,990
polo,pantalon,hombre,pant cargo gab,,790
polo,pantalon,hombre,jean denim todos,,790
polo,pantalon,hombre,jean corderoy,,890
polo,pantalon,hombre,pant mod 2 bols,6058,790
polo,pantalon,hombre,pant cargo elast,,1290
polo,accesorio,hombre,boxer ray,,250
polo,accesorio,hombre,boxer liso,,250
polo,accesorio,hombre,slip x3,,250
polo,accesorio,hombre,pack rem y boxer,,990
