brand,class,gender,name,code,price
posto 5,chomba,hombre,chomba alg m/c ray y est,,590
posto 5,chomba,hombre,chomba alg m/c lisa,,490
posto 5,chomba,hombre,chomba alg m/l lisa,,650
posto 5,remera,hombre,remera m/c ray,,490
posto 5,remera,hombre,remera m/c lisa,,350
posto 5,remera,hombre,remera m/c est,,490
posto 5,remera,hombre,remera m/l lisa,,450
posto 5,remera,hombre,remera m/l est y boton,,590
posto 5,remera,hombre,sudadera lisa,,350
posto 5,remera,hombre,sudadera est y modal,,350
posto 5,chomba,hombre,chomba alg m/l ray y est,,690
posto 5,pantalon,hombre,jogging,,890
posto 5,bermuda short,hombre,bermuda cargo,,890
posto 5,pantalon,hombre,pantalon cargo,,1290
posto 5,bermuda short,hombre,short de baño,,890
posto 5,sweater,hombre,campera tej rombo y ray,,1490
posto 5,sweater,hombre,sw viscosa,,1490
posto 5,chaleco,hombre,chaleco lana,,899
posto 5,sweater,hombre,sweater h/z y f/z,,1490
posto 5,sweater,hombre,sweater bossa y v,,990
posto 5,sweater,hombre,cardigan punto liso,,990
posto 5,sweater,hombre,sweater rombo,,990
posto 5,sweater,dama,sweater boucle dama,,890
posto 5,sweater,dama,card boucle dama,,990
posto 5,buzo,hombre,buzo friza liso,,890
posto 5,buzo,hombre,buzo h/z,,790
posto 5,buzo,hombre,buzo friza combi o cap,,1190
posto 5,buzo,hombre,campera alg,,1499
posto 5,buzo,hombre,camp acetato,,790
posto 5,buzo,hombre,camp alg liv,,690
posto 5,buzo,hombre,buzo y camp rayada,,1490
posto 5,campera,hombre,camp simil cuero tachas,,2990
posto 5,campera,hombre,camp cuerina c/corderito,,2390
posto 5,campera,hombre,camp microfibra,,1790
posto 5,pantalon,hombre,calza,,290
posto 5,camisa,hombre,shirt denim tachas,,1290
posto 5,campera,hombre,camp nylon,,2990
posto 5,campera,hombre,camp simil cuero,,2990
posto 5,campera,hombre,montgomery paño,,3790
posto 5,chaleco,hombre,chaleco rev y otros,,850
posto 5,chaleco,hombre,chaleco c/nylon,,850
posto 5,polar micropolar,hombre,chaleco plolar,,990
posto 5,buzo,dama,buzo dama,,690
posto 5,accesorio,hombre,boxer ray,,179
posto 5,accesorio,hombre,boxer liso,,179
posto 5,accesorio,hombre,cinturon,,499
posto 5,campera,hombre,campera jersey rev,,1299
posto 5,pantalon,hombre,pantalon cargo camuflado,,1690
posto 5,campera,dama,camp canelon dama,,1990
posto 5,buzo,hombre,camp alg c/capucha,,1690
posto 5,campera,hombre,camp nylon tricolor,,1390
posto 5,polar micropolar,hombre,montgomery polar,,1290
posto 5,campera,hombre,parka gab azyl y verde,21866,2990
posto 5,polar micropolar,niño,buzo polar niño,,650
posto 5,polar micropolar,niño,camp polar niño,,650
posto 5,campera,niño,camp acetato niño,,590
posto 5,buzo,niño,camp alg niño,,690
posto 5,chaleco,niño,chaleco niño,,690
posto 5,remera,niño,remera m/c niño,,250
posto 5,campera,niño,campera ray niño,,650
posto 5,remera,niño,remera m/l ray niño,,350
posto 5,chomba,niño,comba m/c alg ray,,450
posto 5,chomba,niño,chomba m/l alg,,529
posto 5,remera,niño,musculosa,,250
