brand,class,gender,name,code,price
puebla,remera,hombre,remera m/c lisa bossa,,450
puebla,remera,hombre,remera m/c lisa v,,450
puebla,remera,hombre,remera m/c ray,,690
puebla,remera,hombre,remera m/c est y flor y spandex,,590
puebla,remera,hombre,sudadera lisa,,390
puebla,remera,hombre,sudadera est y ray,,450
puebla,remera,hombre,remera m/l lisa,,590
puebla,remera,hombre,remera m/l est y ray,,690
puebla,remera,hombre,polera alg,,790
puebla,chomba,hombre,chomba m/c ray,,790
puebla,chomba,hombre,chomba m/c alg,,690
puebla,chomba,hombre,chomba m/l alg lisa,,690
puebla,chomba,hombre,chomba m/l ray,,790
puebla,chomba,hombre,chomba m/l alg c/bolsillo,,850
puebla,polar micropolar,hombre,micropolar f/z liso,,790
puebla,polar micropolar,hombre,micropolar f/z combi,,790
puebla,polar micropolar,hombre,micropolar h/z,,790
puebla,buzo,hombre,buzo cuello polo ray,,790
puebla,buzo,hombre,campera algodon,,1390
puebla,buzo,hombre,buzo bossa combi,,690
puebla,pantalon,hombre,pantalon jogging,,799
puebla,buzo,hombre,buzo c/capucha,,990
puebla,buzo,hombre,camp alg liv,,690
puebla,buzo,hombre,camp alg liv vf,,790
puebla,pantalon,hombre,pantalon camuflado,,2190
