brand,class,gender,name,code,price
raiders,campera,hombre,campera c/corderito y broches,1010203,2490
raiders,campera,hombre,camp c/corderito y broches,1010204,2490
raiders,campera,hombre,camp corderoy cuello y puños tejidos,15028,2490
raiders,campera,hombre,camp rev story,15041,2490
raiders,campera,hombre,camp corderoy c/cord,1010304,2490
raiders,campera,hombre,camp larga corderoy,1010306,2490
raiders,campera,hombre,camp combi,10043,2490
raiders,campera,hombre,camp rev,10028,2490
raiders,campera,hombre,camp gab int polar,15,2490
raiders,chaleco,hombre,chaleco rev,,1790
raiders,pantalon,hombre,jean todos,,699
raiders,sweater,hombre,sweater bossa,,790
raiders,sweater,hombre,sweater h/z,,890
raiders,buzo,hombre,buzo bossa y v,,890
raiders,buzo,hombre,buzo cuello polo,,790
raiders,buzo,hombre,camp alg,,890
raiders,sweater,hombre,cardigan,,990
raiders,sweater,hombre,polera punto,,990
raiders,sweater,hombre,cardigan cuello alto,,990
raiders,buzo,hombre,camp alg y polar,,990
raiders,buzo,hombre,buzo promo,,690
raiders,polar micropolar,hombre,polar h/z,,890
raiders,bermuda,hombre,bermuda,,750
raiders,bermuda,hombre,bermuda cargo,,890
raiders,bermuda,hombre,bermuda baño,,890
raiders,remera,hombre,remera m/c,,350
raiders,remera,hombre,remera m/l,,450
raiders,chomba,hombre,chomba m/c,,490
raiders,chomba,hombre,chomba m/l,,590
raiders,remera,hombre,remera m/c dryfit,,890
raiders,camisa,hombre,camisa m/c,,690
raiders,camisa,hombre,camisa m/l,,790
raiders,camisa,hombre,camisa denim,,890
raiders,accesorio,hombre,cinto cuero,,429
raiders,accesorio,hombre,medias,,85
