brand,class,gender,name,code,price
rica lewis,pantalon,dama,jean clasico sw,,990
rica lewis,pantalon,dama,jean clasico sw 52-56,,1090
rica lewis,pantalon,dama,jean resto,,1290
rica lewis,pantalon,dama,jean resto 52-56,,1390
rica lewis,pantalon,hombre,jean clasico,,990
rica lewis,pantalon,hombre,jean clasico 52-56,,1090
rica lewis,pantalon,hombre,jean resto,,1290
rica lewis,pantalon,hombre,jean resto 52-56,,1390
rica lewis,bermuda short,hombre,bermuda gab pinz,,990
rica lewis,bermuda short,hombre,bermuda denim,,890
rica lewis,bermuda short,dama,bermuda dama gab elast,,890
rica lewis,bermuda short,dama,short dama,,690
