brand,class,gender,name,code,price
seawalk,calzado,dama,sueco,200,249
seawalk,calzado,dama,seaband puntera,260,399
seawalk,calzado,dama,daniela,370,789
seawalk,calzado,dama,marigot,210,209
seawalk,calzado,hombre,seaband puntera,270,399
seawalk,calzado,hombre,sueco,300,249
seawalk,calzado,hombre,peter,750,219
seawalk,calzado,niño,sueco,100,219
seawalk,calzado,niño,seaband,163,329
seawalk,calzado,niño,seaband,164,329
seawalk,calzado,niño,seaband,165,329
seawalk,calzado,niño,seaband,166,329
seawalk,calzado,niño,*seaband puntera,*,329
