brand,class,gender,name,code,price
sox,accesorio,unisex,soquete,de73a,99
sox,accesorio,unisex,media dep,de133c,120
sox,accesorio,dama,media dama,da125b,165
sox,accesorio,unisex,media caña corta,de132c,99
sox,accesorio,unisex,media deportiva,de07a,99
sox,accesorio,unisex,media jean,je122c,165
sox,accesorio,unisex,media simple lisa,,89
sox,accesorio,unisex,media jean,je123c,120
sox,accesorio,unisex,media jean,je91c,120
sox,accesorio,unisex,media jean,je113c,165
sox,accesorio,unisex,media tripack,de01c,275
sox,accesorio,unisex,media,de93a,120
sox,accesorio,unisex,media jean,je120c,165
sox,accesorio,unisex,media,de140b,99
sox,accesorio,unisex,media pack x2,da120c,275
sox,accesorio,unisex,media ski larga,te17a,299
sox,accesorio,unisex,media outdoor,te01 a 06a,299
