brand,class,gender,name,code,price
surfanic,accesorio,niño,guante ferrer,,1100
surfanic,accesorio,niño,guante snua,,990
surfanic,accesorio,niño,guante snapper,,990
surfanic,accesorio,niño,guante swagger,,990
surfanic,accesorio,niño,guante cusay,,990
surfanic,accesorio,dama,gorro shelpa trek,,590
surfanic,termico,hombre,zammo camiseta termica hombre bossa,,900
surfanic,termico,dama,sussi camiseta termica dama bossa camuflada,,840
surfanic,termico,dama,calley camiseta termica dama h/z,,900
surfanic,termico,niño,lockie camiseta termica niño bossa,,570
surfanic,pantalon,niño,pant ella,,2900
surfanic,campera,niño,ariel jkt,,4900
surfanic,campera,niño,cassim jkt,,5490
surfanic,campera,niño,baldo jkt,,5490
surfanic,campera,niño,drake jkt,,5490
surfanic,campera,hombre,arma jkt,,7500
surfanic,campera,hombre,dakota jkt,,7500
surfanic,campera,dama,aurora jkt,,5500
surfanic,campera,dama,luna jkt,,6700
surfanic,campera softshell,hombre,challenger softshell jkt,,3600
surfanic,campera,niño,ada jkt jr hasta 14,,3300
surfanic,campera,niño,ada jkt jr +14,,3600
surfanic,campera,niño,bazooka jr hasta 14,,3300
surfanic,campera,niño,bazooka jr +14,,3600
surfanic,campera softshell,hombre,attrack jkt softshell,,3200
surfanic,campera,dama,ashima jkt,,7500
surfanic,campera,hombre,clark jkt duvet,,4500
surfanic,campera,dama,widow,,7900
surfanic,campera,hombre,airwave jkt sky,,5000
surfanic,campera,hombre,inferno jkt,,7500
surfanic,campera,hombre,baccus jkt,,5590
surfanic,campera,dama,lynx jkt,,3990
surfanic,campera,dama,asara jkt sky,,5000
surfanic,campera softshell,dama,atria,,3690
surfanic,campera,niño,barker down jr,,2990
surfanic,polar micropolar,dama,micropolar dill h/z,,990
surfanic,polar micropolar,hombre,micropolar tucker h/z,,1150
surfanic,accesorio,unisex,guante force,,1390
surfanic,buzo,dama,kelli camp alg f/z,,1790
surfanic,buzo,hombre,saints camp alg f/z,,1990
surfanic,accesorio,dama,remera termica,,840
surfanic,termico,dama,remera galley termica,,900
surfanic,termico,dama,remera zamma termica,,900
surfanic,termico,niño,remera lookiee termica,,570
