brand,class,gender,name,code,price
trackers,calzado,hombre,mocasin,1060,1690
trackers,calzado,hombre,mocasin,181,1690
trackers,calzado,hombre,bota,1810,2290
trackers,calzado,hombre,gamuza tierra,160,1690
trackers,calzado,hombre,beatle bota,1903,2290
trackers,calzado,hombre,gamuza tierra,160,1690
trackers,calzado,hombre,driver 2 bufalo marron/blanco,220,1690
trackers,calzado,hombre,dertan blanco/gris,474,1690
trackers,calzado,hombre,special gamuza,491,1690
trackers,calzado,hombre,palermo cas,492,1690
trackers,calzado,hombre,snipe,1022,1690
trackers,calzado,hombre,sand,3504,1690
trackers,calzado,dama,borcego lady,,1990
trackers,calzado,hombre,zapatilla c/cordones,303,1690
trackers,calzado,hombre,mocasin,431,1690
trackers,calzado,hombre,zapatilla c/cordones,300,1690
trackers,calzado,hombre,,1802,2990
trackers,calzado,hombre,borcego,1801,2990
trackers,calzado,hombre,bota,1910,2990
trackers,calzado,hombre,pancha,400,1690
trackers,calzado,hombre,mocasin,*921,1690
trackers,calzado,hombre,picado c/cordon,1807,1690
trackers,calzado,hombre,pancha,401,1690
trackers,calzado,hombre,mocasin,384,1690
trackers,calzado,hombre,zapatilla c/cordon,1900,1690
trackers,calzado,hombre,bota c/cordon,1800,2590
trackers,calzado,hombre,,122,1690
trackers,calzado,hombre,,1053,1690
