brand,class,gender,name,code,price
vf,accesorio,hombre,cinturon cuero,,569
vf,accesorio,hombre,cinturon soga,,529
vf,accesorio,hombre,cup,,590
vf,accesorio,hombre,perfume,,490
vf,accesorio,hombre,boxer rebote,,399
vf,accesorio,hombre,boxer rib,,339
vf,accesorio,hombre,slip,,329
vf,accesorio,hombre,media,,169
vf,accesorio,hombre,soquete x2,,390
vf,accesorio,hombre,billetera,,649
vf,bermuda,hombre,bermuda gabardina rev cargo,,1699
vf,bermuda,hombre,bermuda gabardina,,1499
vf,bermuda,hombre,bermuda denim,,1599
vf,bermuda,hombre,short de baño,,1490
vf,blazer,hombre,blazer corderoy,3990,3990
vf,blazer,hombre,blazer denim,,3290
vf,blazer,hombre,blazer paño,,3990
vf,buzo,hombre,buzo algodon,,1790
vf,buzo,hombre,campera algodon y cang,,1990
vf,buzo,hombre,buzo friza y lana,,1890
vf,campera,hombre,campera gab corta,,3590
vf,camisa,hombre,camisa m/c,,1590
vf,camisa,hombre,camisa m/l,,1590
vf,camisa,hombre,camisa m/c denim,,1790
vf,camisa,hombre,camisa m/l corderoy,,1790
vf,camisa,hombre,camisa m/l viyela,,1790
vf,camisa,hombre,camisa m/l denim,,1790
vf,campera,hombre,campera gab int desm,,3990
vf,campera,hombre,campera gab larga,,3990
vf,campera,hombre,campera matelasse,,3990
vf,campera,hombre,campera microf,,3290
vf,campera,hombre,campera nylon mga desm,,3990
vf,campera,hombre,campera gab rev,,3690
vf,campera,hombre,campera rev mga desm,,3990
vf,campera,hombre,campera nylon rev,,3290
vf,campera,hombre,jkt denim c/abrigo,,3290
vf,campera,hombre,jkt corderoy,,2890
vf,campera,hombre,campera polar,,1790
vf,campera,hombre,jkt polar,7061-4894,2490
vf,campera,hombre,campera friza,7307-4491-77,1990
vf,campera,hombre,jkt nylon c/chaleco desm,3358-4423,4590
vf,campera,hombre,jkt denim spandex,,3490
vf,campera,hombre,jkt denim engomada,,3490
vf,campera,hombre,jkt denim mat,,2900
vf,campera,hombre,jkt denim sw,,2900
vf,campera,hombre,jkt americana paño rev,,3690
vf,campera,hombre,jkt nylon con pluma rev,3259-4423,3890
vf,campera,hombre,jkt nylon con pluma rev,3316-4422,3890
vf,campera,hombre,jkt nylon desm polar,3321-4428,3690
vf,campera,hombre,montgomery paño,3326-4009,3990
vf,campera,hombre,jkt simil cuero,3135-9002,3290
vf,campera,hombre,paño corto,3240-5247,3590
vf,campera,hombre,montgomery lana,7841-5246,2690
vf,campera,hombre,jkt gabardina,3197-4427,3590
vf,campera,hombre,parka desm,3335-1455,3990
vf,campera,hombre,parka,3336-1515,3990
vf,campera,hombre,jkt gabardina,3273-1455,3590
vf,campera,dama,campera nylon dama,,3690
vf,campera,dama,jkt denim dama,,2890
vf,campera,dama,piloto dama,,3590
vf,chaleco,hombre,chaleco nylon,,2690
vf,chomba,hombre,chomba lisa micropique,,850
vf,chomba,hombre,chomba lisa pique,,850
vf,chomba,hombre,chomba ray mic/pique,,949
vf,chomba,hombre,chomba alg ray y lisa,,949
vf,chomba,hombre,chomba m/l alg ray,,990
vf,falda,dama,falda,,1199
vf,mochila,hombre,bolso denim,,890
vf,mochila,hombre,bolso denim matero,,790
vf,pantalon,hombre,pantalon cargo,,1599
vf,remera,hombre,remera pack x2,,799
vf,remera,hombre,remera m/c,,790
vf,remera,hombre,remera m/l,,750
vf,remera,dama,musculosa algodon,,499
vf,short,dama,short dama,,1199
vf,sweater,hombre,cardigan punto,,2590
vf,sweater,hombre,polera punto,,1990
vf,sweater,hombre,sweater punto,,1990
vf,sweater,dama,cardigan punto dama,,1990
vf,vestido,dama,enteritos y vestidos denim,,2290
vf,vestido,dama,solero broderi,,2490
vf,vestido,dama,vestido corto,,1990
vf,vestido,dama,vestido largo,,2290
