brand,class,gender,name,code,price
wrangler no lista,pantalon,hombre,denim clasico,1102,999
wrangler no lista,pantalon,hombre,denim respirable,1102,1399
wrangler no lista,pantalon,hombre,denim spandex,1102,1549
wrangler no lista,pantalon,hombre,gabardina,1102,1399
wrangler no lista,pantalon,hombre,denim,1104,1290
wrangler no lista,pantalon,hombre,corderoy,1104,1399
wrangler no lista,pantalon,hombre,denim,1105,1290
wrangler no lista,pantalon,hombre,gabardina,1105,1399
wrangler no lista,pantalon,hombre,corderoy,1105,1399
wrangler no lista,pantalon,hombre,denim,1106,1799
wrangler no lista,pantalon,hombre,gabardina,1106,1599
wrangler no lista,pantalon,hombre,denim clasico,1108,1499
wrangler no lista,pantalon,hombre,denim respirable y moda,1108,1699
wrangler no lista,pantalon,hombre,cody gabardina,1108,1499
wrangler no lista,pantalon,hombre,denim varios,1140,1699
wrangler no lista,pantalon,hombre,clasico,otros,1199
wrangler no lista,pantalon,hombre,moda,otros,1699
wrangler no lista,pantalon,hombre,denim impermeable,,1999
wrangler no lista,pantalon,dama,todos,,1599
