brand,class,gender,name,code,price
wrangler,,,MONTANA O.15 DESTROYED,1102-0765-86-01,1099
wrangler,,,MONTANA O.D 15 SW,1102-0765-94-01,1099
wrangler,,,MONTANA DENIM BLACK NEGRO,1102-1012-96-01,1299
wrangler,,,MONTANA ADVANCED EXTRA COMFORT DENIM C/,1102-1030-80-01,1499
wrangler,,,MONT BLU.BL.S.W,1102-1042-94-01,1099
wrangler,,,MONTANA COAL BLACK PREWASHED,1102-1057-79-01,1299
wrangler,,,MONTANA OVERFIXED DIRTY S.W.LOCALIZADO,1102-1059-95-01,1299
wrangler,,,MONTANA DENIM INTENSE BLUE INDIGO,1102-1088-95-01,1299
wrangler,,,MONTANA NEW CAST NEW CAST KHAKY,1102-1123-43-01,1299
wrangler,,,MONTANA NEW CAST NEW CAST VERDE MUSGO,1102-1123-63-01,1299
wrangler,,,MONTANA NEW CAST NEW CAST GRIS PLOMO,1102-1123-77-01,1299
wrangler,,,MONTANA ADVANCED EXTRA COMF.ULTRA DIRTY,1102-1138-84-01,1599
wrangler,,,MONTANA ADV. EXTRA COMF.BLACK SUAV.,1102-1209-80-01,1499
wrangler,,,MONTANA COMFORT DENIM LIGHT BLUE GREY,1102-1210-90-01,1599
wrangler,,,MONTANA COMFORT DENIM LIGHT STONE WASH,1102-1215-86-01,1599
wrangler,,,MONTANA COMFORT DENIM DARK BLUE WASH,1102-1264-84-01,1599
wrangler,,,SPENCER LS DENIM LIGHT STONE WASH,1106-1157-94-01,1799
wrangler,,,SPENCER GABARD.C/ELAST.NEGRO SUAVIZADO,1106-1169-79-01,1799
wrangler,,,SPENCER DV DENIM DIRTY VINTAGE BLUE,1106-1210-95-01,1799
wrangler,,,SPENCER DS DENIM DARK STONE WASH,1106-1215-95-01,1899
wrangler,,,CODY COMFORT DENIM MID BLUE WASH,1108-1142-80-01,1749
wrangler,,,CODY ADVANCED EXTRA COMF.BLUE BLACK LOC.,1108-1155-84-01,1749
wrangler,,,CODY CORDEROY NEGRO ENZIMATICO,1108-1269-79-01,1599
wrangler,,,CODY CORDEROY BEIGE ENZIMATICO,1108-1270-01-01,1599
wrangler,,,CODY CORDEROY AZUL MARINO ENZIMATICO,1108-1273-38-01,1599
wrangler,,,CODY COMFORT DENIM LIGHT BLUE WASH,1108-1291-90-01,1749
wrangler,,,CODY COMFORT DENIM DARK STONE WASH,1108-1293-84-01,1749
wrangler,,,BROCKTON COLOR GAB.MARENGO HEAVY SW,1140-1020-70-01,1499
wrangler,,,BROCKTON 1947 DENIM 11OZ.BLUE VINTAGE,1140-1108-37-01,1699
wrangler,,,BROCKTON 1947 BLUE DENIM 10OZ BLUE WASH,1140-1108-89-01,1699
wrangler,,,BROCKTON 1947 DNO COMFORT DIRTY NEGRO,1140-1180-87-01,1699
wrangler,,,BROCKTON 1947 GB COMFORT GREY BLUE,1140-1180-91-01,1699
wrangler,,,BROCKT COMFORT C/ELASTANO ULTRA BLACK,1140-1496-79-01,1699
wrangler,,,BROCKTON 1947 DS COMFORT DENIM C/ ELASTA,1140-1701-84-01,1699
wrangler,,,BROCKTON 1947 MS COMFORT DENIM C/ ELASTA,1140-1701-94-01,1699
wrangler,,,BROCKTON MEDIUM BLUE DENIM ELASTANO STL,1140-1740-85-01,1299
wrangler,,,BROCKTON LIGHT DENIM ELASTANO LTL,1140-1740-86-01,1299
wrangler,,,BROCKTON DIRTY BLUE DENIM ELASTANO UW,1140-1740-96-01,1299
wrangler,,,CASUAL DNM PANT DNM INDI DARK LOC,1183-1562-84-01,1999
wrangler,,,CASUAL DENIM PANT ELASTANO TBD,1183-1755-94-01,1999
wrangler,,,NICOLE ACTIVE STRECH C/ELAST MEDIUM,1200-1199-86-01,1999
wrangler,,,NICOLE SHAPE KEEPER DEN C/ELASTANO DARK,1200-1201-95-01,2199
